Date,JDfrom0,Iprec,RH,AirT,Swglob,CloudTrans
15/10/2010 00:00,734426,0,52.7,3.24,0,0.86897
15/10/2010 01:00,734426.041667,0,51.91,3.01,0,0.850251
15/10/2010 02:00,734426.083333,0,48.64,3.14,0,0.831533
15/10/2010 03:00,734426.125,0,50.75,2.9,0,0.812814
15/10/2010 04:00,734426.166667,0,51.91,2.52,0,0.794095
15/10/2010 05:00,734426.208333,0,51.88,2.37,0,0.775377
15/10/2010 06:00,734426.25,0,46.07,2.5,0,0.756658
15/10/2010 07:00,734426.291667,0,40.2,2.6,4.18,0.73794
15/10/2010 08:00,734426.333333,0,44.83,2.48,56.36,0.719221
15/10/2010 09:00,734426.375,0,35.51,5.66,315,0.719221
15/10/2010 10:00,734426.416667,0,40.51,8.21,478.45,0.719221
15/10/2010 11:00,734426.458333,0,43.11,9.02,598.48,1
15/10/2010 12:00,734426.5,0,48.81,9.03,660.3,1
15/10/2010 13:00,734426.541667,0,41.5,9.16,662.8,1
15/10/2010 14:00,734426.583333,0,40.29,9.91,600.05,1
15/10/2010 15:00,734426.625,0,38.42,9.76,482.68,1
15/10/2010 16:00,734426.666667,0,50.82,8.56,216.84,1
15/10/2010 17:00,734426.708333,0,63.42,6.01,24.54,1
15/10/2010 18:00,734426.75,0,70.37,4.01,6.74,0.962642
15/10/2010 19:00,734426.791667,0,72.75,2.73,0,0.925284
15/10/2010 20:00,734426.833333,0,76.19,2.05,0,0.887927
15/10/2010 21:00,734426.875,0,78.22,1.71,0,0.850569
15/10/2010 22:00,734426.916667,0,79.84,1.41,0,0.813211
15/10/2010 23:00,734426.958333,0,80.13,1.06,0,0.775853
16/10/2010 00:00,734427,0,81.73,0.64,0,0.738496
16/10/2010 01:00,734427.041667,0,81,0.35,0,0.701138
16/10/2010 02:00,734427.083333,0,78.75,0.2,0,0.66378
16/10/2010 03:00,734427.125,0,73.73,-0.03,0,0.626422
16/10/2010 04:00,734427.166667,0,59.59,0.29,0,0.589064
16/10/2010 05:00,734427.208333,0,58.57,-0.01,0,0.551707
16/10/2010 06:00,734427.25,0,60.31,0.48,0,0.514349
16/10/2010 07:00,734427.291667,0,65.54,0.12,9.26,0.476991
16/10/2010 08:00,734427.333333,0,72.24,0.15,49.82,0.439633
16/10/2010 09:00,734427.375,0,69.23,1.03,129.93,0.439633
16/10/2010 10:00,734427.416667,0,72.29,1.93,325.93,0.439633
16/10/2010 11:00,734427.458333,0,70.81,3.05,442.13,0.564896
16/10/2010 12:00,734427.5,0,77.88,2.53,272.08,0.564896
16/10/2010 13:00,734427.541667,0,84.23,2.25,235.4,0.564896
16/10/2010 14:00,734427.583333,0,86.63,1.73,141.83,0.200486
16/10/2010 15:00,734427.625,0,95.25,0.71,63.94,0.200486
16/10/2010 16:00,734427.666667,0,98.68,0.19,25.54,0.200486
16/10/2010 17:00,734427.708333,0,99.6,0.02,19.69,0.200486
16/10/2010 18:00,734427.75,0,97.25,-0.32,1.89,0.194199
16/10/2010 19:00,734427.791667,0,90.13,-0.22,0,0.187911
16/10/2010 20:00,734427.833333,0,88.23,-0.29,0,0.181623
16/10/2010 21:00,734427.875,0,86.33,-0.3,0,0.175336
16/10/2010 22:00,734427.916667,0,87.85,-0.47,0,0.169048
16/10/2010 23:00,734427.958333,0,86.6,-0.59,0,0.16276
17/10/2010 00:00,734428,0,96.98,-1.16,0,0.156473
17/10/2010 01:00,734428.041667,0,100.8,-1.58,0,0.150185
17/10/2010 02:00,734428.083333,0,101.28,-1.75,0,0.143897
17/10/2010 03:00,734428.125,0,101.5,-1.82,0,0.137609
17/10/2010 04:00,734428.166667,0,101.53,-1.84,0,0.131322
17/10/2010 05:00,734428.208333,0,101.53,-2.04,0,0.125034
17/10/2010 06:00,734428.25,0,101.53,-1.98,0,0.118746
17/10/2010 07:00,734428.291667,0.203274,101.28,-2.02,0.85,0.112459
17/10/2010 08:00,734428.333333,0.915803,101.13,-1.9,12.25,0.106171
17/10/2010 09:00,734428.375,1.240356,99.78,-1.3,38.95,0.106171
17/10/2010 10:00,734428.416667,0.388404,98.45,-0.92,48.76,0.106171
17/10/2010 11:00,734428.458333,0.417071,96.75,-0.33,129.1,0.297311
17/10/2010 12:00,734428.5,0.3,95.98,0.19,189.55,0.297311
17/10/2010 13:00,734428.541667,0.7,96.55,0.15,177.95,0.297311
17/10/2010 14:00,734428.583333,0.5,98.6,0.12,121.48,0.293684
17/10/2010 15:00,734428.625,0.4,98.7,0.05,107.05,0.293684
17/10/2010 16:00,734428.666667,0.3,99.5,-0.02,62.99,0.293684
17/10/2010 17:00,734428.708333,0.1,98.65,-0.34,41.08,0.293684
17/10/2010 18:00,734428.75,0,98.1,-0.68,5.87,0.306151
17/10/2010 19:00,734428.791667,0,98.33,-0.91,0,0.318618
17/10/2010 20:00,734428.833333,0,96.78,-0.98,0,0.331085
17/10/2010 21:00,734428.875,0,97.03,-1.03,0,0.343552
17/10/2010 22:00,734428.916667,0,97.53,-1.18,0,0.356019
17/10/2010 23:00,734428.958333,0,95.53,-1.11,0,0.368486
18/10/2010 00:00,734429,0,96.45,-1.78,0,0.380953
18/10/2010 01:00,734429.041667,0,96.4,-2.21,0,0.39342
18/10/2010 02:00,734429.083333,0,88.03,-1.98,0,0.405887
18/10/2010 03:00,734429.125,0,83.38,-1.66,0,0.418354
18/10/2010 04:00,734429.166667,0,79.8,-1.23,0,0.430821
18/10/2010 05:00,734429.208333,0,87.78,-1.44,0,0.443288
18/10/2010 06:00,734429.25,0,87.31,-1.62,0,0.455755
18/10/2010 07:00,734429.291667,0,83.14,-1.64,2.85,0.468222
18/10/2010 08:00,734429.333333,0,77.3,-0.89,64.87,0.480689
18/10/2010 09:00,734429.375,0,69.07,-0.1,188.2,0.480689
18/10/2010 10:00,734429.416667,0,70.64,0.42,248.63,0.480689
18/10/2010 11:00,734429.458333,0,66.59,0.93,305.75,0.47987
18/10/2010 12:00,734429.5,0,67.88,1.19,245.2,0.47987
18/10/2010 13:00,734429.541667,0,66.26,1.42,245.4,0.47987
18/10/2010 14:00,734429.583333,0,66.49,1.57,242.48,0.838779
18/10/2010 15:00,734429.625,0,62.22,2.9,401.9,0.838779
18/10/2010 16:00,734429.666667,0,63.05,2.58,224.63,0.838779
18/10/2010 17:00,734429.708333,0,69.47,1.01,56.52,0.838779
18/10/2010 18:00,734429.75,0,73.65,-0.44,6.24,0.825136
18/10/2010 19:00,734429.791667,0,75.97,-0.98,0,0.811493
18/10/2010 20:00,734429.833333,0,75.74,-1.32,0,0.797851
18/10/2010 21:00,734429.875,0,76.95,-1.57,0,0.784208
18/10/2010 22:00,734429.916667,0,78.03,-1.86,0,0.770565
18/10/2010 23:00,734429.958333,0,75.38,-1.81,0,0.756922
19/10/2010 00:00,734430,0,74.53,-1.83,0,0.74328
19/10/2010 01:00,734430.041667,0,75.68,-2.12,0,0.729637
19/10/2010 02:00,734430.083333,0,79.04,-2.58,0,0.715994
19/10/2010 03:00,734430.125,0,80.9,-2.86,0,0.702351
19/10/2010 04:00,734430.166667,0,81.22,-3.03,0,0.688709
19/10/2010 05:00,734430.208333,0,74.99,-2.64,0,0.675066
19/10/2010 06:00,734430.25,0,74.7,-2.55,0,0.661423
19/10/2010 07:00,734430.291667,0,71.09,-2.6,3.11,0.64778
19/10/2010 08:00,734430.333333,0,53,-0.83,40.24,0.634138
19/10/2010 09:00,734430.375,0,40.36,1.61,260.35,0.634138
19/10/2010 10:00,734430.416667,0,28.58,3.53,425.85,0.634138
19/10/2010 11:00,734430.458333,0,28.67,4.99,549.4,1
19/10/2010 12:00,734430.5,0,26.18,6.8,607.65,1
19/10/2010 13:00,734430.541667,0,28.96,7.94,613.35,1
19/10/2010 14:00,734430.583333,0,30.52,8.26,517.7,1
19/10/2010 15:00,734430.625,0,28.53,7.49,465.83,1
19/10/2010 16:00,734430.666667,0,31.81,6.48,214.29,1
19/10/2010 17:00,734430.708333,0,31.02,4.95,25.05,1
19/10/2010 18:00,734430.75,0,36.24,3.28,3.16,0.968336
19/10/2010 19:00,734430.791667,0,41.88,1.73,0,0.936672
19/10/2010 20:00,734430.833333,0,45.87,1.04,0,0.905008
19/10/2010 21:00,734430.875,0,50.42,0.68,0,0.873344
19/10/2010 22:00,734430.916667,0,53.68,0.54,0,0.84168
19/10/2010 23:00,734430.958333,0,56.65,-0.05,0,0.810016
20/10/2010 00:00,734431,0,58.55,-0.09,0,0.778352
20/10/2010 01:00,734431.041667,0,60.17,-0.61,0,0.746687
20/10/2010 02:00,734431.083333,0,62.31,-0.91,0,0.715023
20/10/2010 03:00,734431.125,0,58.96,-0.66,0,0.683359
20/10/2010 04:00,734431.166667,0,55.93,-0.04,0,0.651695
20/10/2010 05:00,734431.208333,0,58.08,-0.24,0,0.620031
20/10/2010 06:00,734431.25,0,84,-0.81,0,0.588367
20/10/2010 07:00,734431.291667,0,88.5,-1.78,2.94,0.556703
20/10/2010 08:00,734431.333333,0,76.5,-1.76,35.71,0.525039
20/10/2010 09:00,734431.375,0,68.31,-0.69,191.53,0.493375
20/10/2010 10:00,734431.416667,0,68.19,-0.76,184.73,0.493375
20/10/2010 11:00,734431.458333,0,78.55,-0.73,318.1,0.694841
20/10/2010 12:00,734431.5,0,68.99,0,397.9,0.694841
20/10/2010 13:00,734431.541667,0,60.25,0.58,417.55,0.694841
20/10/2010 14:00,734431.583333,0,52.73,1.82,555.48,1
20/10/2010 15:00,734431.625,0,52.94,1.78,443.65,1
20/10/2010 16:00,734431.666667,0,58.89,0.13,210.86,1
20/10/2010 17:00,734431.708333,0,68.44,-1.59,68.44,1
20/10/2010 18:00,734431.75,0,63.81,-2.13,5.33,0.99276
20/10/2010 19:00,734431.791667,0,68.21,-2.55,0,0.98552
20/10/2010 20:00,734431.833333,0,61.95,-2.86,0,0.97828
20/10/2010 21:00,734431.875,0,68.68,-3.02,0,0.971041
20/10/2010 22:00,734431.916667,0,72.22,-3.76,0,0.963801
20/10/2010 23:00,734431.958333,0,66.2,-3.76,0,0.956561
21/10/2010 00:00,734432,0,65.04,-3.92,0,0.949321
21/10/2010 01:00,734432.041667,0,65.21,-3.93,0,0.942081
21/10/2010 02:00,734432.083333,0,68.81,-4.2,0,0.934841
21/10/2010 03:00,734432.125,0,63.39,-4.29,0,0.927601
21/10/2010 04:00,734432.166667,0,63.84,-4.2,0,0.920361
21/10/2010 05:00,734432.208333,0,64.16,-4.34,0,0.913122
21/10/2010 06:00,734432.25,0,64.11,-4.63,0,0.905882
21/10/2010 07:00,734432.291667,0,63.09,-5.15,2.94,0.898642
21/10/2010 08:00,734432.333333,0,62.75,-5.26,36.25,0.891402
21/10/2010 09:00,734432.375,0,53.22,-2.96,261.5,0.884162
21/10/2010 10:00,734432.416667,0,46.33,-1.7,441.95,0.884162
21/10/2010 11:00,734432.458333,0,36.56,-0.88,560.65,1
21/10/2010 12:00,734432.5,0,26.46,1.18,625.8,1
21/10/2010 13:00,734432.541667,0,26.97,3.37,629.03,1
21/10/2010 14:00,734432.583333,0,21.58,3.74,567.63,1
21/10/2010 15:00,734432.625,0,21.67,4.02,450.9,1
21/10/2010 16:00,734432.666667,0,22.63,3.58,202.61,1
21/10/2010 17:00,734432.708333,0,27.69,1.83,21.24,1
21/10/2010 18:00,734432.75,0,36.76,-0.56,3.1,0.991812
21/10/2010 19:00,734432.791667,0,41.89,-1.56,0,0.983624
21/10/2010 20:00,734432.833333,0,44.37,-2.27,0,0.975436
21/10/2010 21:00,734432.875,0,47.56,-2.59,0,0.967248
21/10/2010 22:00,734432.916667,0,50.7,-2.82,0,0.95906
