Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,100.000000 ,300.000000 ,500.000000 ,700.000000 ,900.000000 ,1100.000000 ,1300.000000 ,1500.000000 ,1700.000000 ,1900.000000 ,2100.000000  
01/02/2012 00:00,734900.000000,0.000000,0,1,1,0.006242,0.006242,0.006242,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 01:00,734900.041667,0.041667,1,1,1,0.054693,0.006252,0.006242,0.006242,0.006246,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 02:00,734900.083333,0.083333,1,1,1,0.102555,0.006849,0.006243,0.006242,0.006249,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 03:00,734900.125000,0.125000,1,1,1,0.146426,0.011435,0.006246,0.006242,0.006253,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 04:00,734900.166667,0.166667,1,1,1,0.182558,0.023757,0.006254,0.006242,0.006257,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 05:00,734900.208333,0.208333,1,1,1,0.209365,0.045385,0.006279,0.006242,0.006260,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 06:00,734900.250000,0.250000,1,1,1,0.227682,0.075230,0.006579,0.006242,0.006264,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 07:00,734900.291667,0.291667,1,1,1,0.239817,0.109855,0.008280,0.006244,0.006268,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 08:00,734900.333333,0.333333,1,1,1,0.247996,0.144750,0.013665,0.006249,0.006271,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 09:00,734900.375000,0.375000,1,1,1,0.253686,0.176072,0.025111,0.006257,0.006275,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 10:00,734900.416667,0.416667,1,1,1,0.257707,0.201528,0.044071,0.006288,0.006279,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 11:00,734900.458333,0.458333,1,1,1,0.260533,0.220611,0.070369,0.006556,0.006283,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 12:00,734900.500000,0.500000,1,1,1,0.262497,0.234225,0.101911,0.007913,0.006288,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 13:00,734900.541667,0.541667,1,1,1,0.263861,0.243801,0.135163,0.012205,0.006296,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 14:00,734900.583333,0.583333,1,1,1,0.264827,0.250590,0.166476,0.021638,0.006307,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 15:00,734900.625000,0.625000,1,1,1,0.265546,0.255454,0.193159,0.037915,0.006327,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 16:00,734900.666667,0.666667,1,1,1,0.266087,0.258949,0.214015,0.061487,0.006484,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 17:00,734900.708333,0.708333,1,1,1,0.266524,0.261446,0.229356,0.091066,0.007347,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 18:00,734900.750000,0.750000,1,1,1,0.266907,0.263247,0.240337,0.123692,0.010410,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 19:00,734900.791667,0.791667,1,1,1,0.267273,0.264584,0.248215,0.155762,0.017808,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 20:00,734900.833333,0.833333,1,1,1,0.267528,0.265624,0.253959,0.184242,0.031492,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 21:00,734900.875000,0.875000,1,1,1,0.267752,0.266395,0.258179,0.207393,0.052536,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 22:00,734900.916667,0.916667,1,1,1,0.267985,0.267004,0.261261,0.225022,0.080728,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
01/02/2012 23:00,734900.958333,0.958333,1,1,1,0.268205,0.267528,0.263666,0.238413,0.114823,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
02/02/2012 00:00,734901.000000,1.000000,1,1,1,0.268489,0.268093,0.266079,0.249246,0.153467,0.000016,0.000016,0.000016,0.000016,0.000016,0.000016 
